# source: http://www.linguistics.ucla.edu/people/hayes/ShakespeareAndMilton/
# author: milton
# title: paradise lost, books 8, 9.
# coder: bruce hayes
1	syllables	NO more of talk where God or Angel Guest	NO	more	of	talk	where	God	or	An	gel	Guest	
1158	comment	Too facil then thou didst not much gainsay,	gainsay in Milton: hapax WS verb, OED says verb can be either										
1159	syllables	Nay, didst permit, approve, and fair dismiss.	Nay,	didst	per	mit,	ap	prove,	and	fair	dis	miss.	
1159	stress	Nay, didst permit, approve, and fair dismiss.	4	1	1	4	1	4	1	3	1	4	
1159	juncture	Nay, didst permit, approve, and fair dismiss.	5	2	1	5	1	5	2	3	1	5	
1159	comment	Nay, didst permit, approve, and fair dismiss.											
1160	syllables	Hadst thou bin firm and fixt in thy dissent,	Hadst	thou	bin	firm	and	fixt	in	thy	dis	sent,	
1160	stress	Hadst thou bin firm and fixt in thy dissent,	2	1	1	3	1	3	1	1	1	4	
1160	juncture	Hadst thou bin firm and fixt in thy dissent,	2	3	2	4	2	3	2	2	1	5	
1160	comment	Hadst thou bin firm and fixt in thy dissent,											
1161	syllables	Neither had I transgress'd, nor thou with mee.	Nei	ther	had	I	trans	gress'd,	nor	thou	with	mee.	
1161	stress	Neither had I transgress'd, nor thou with mee.	2	1	1	1	1	4	1	3	1	4	
1161	juncture	Neither had I transgress'd, nor thou with mee.	1	3	2	2	1	5	2	4	2	5	
1161	comment	Neither had I transgress'd, nor thou with mee.											
1162	syllables	To whom then first incenst Adam repli'd,	To	whom	then	first	in	censt	A	dam	re	pli'd,	
1162	stress	To whom then first incenst Adam repli'd,	1	1	1	3	1	4	3	1	1	4	
1162	juncture	To whom then first incenst Adam repli'd,	2	3	2	3	1	4	1	4	1	5	
1162	comment	To whom then first incenst Adam repli'd,											
1163	syllables	Is this the Love, is this the recompence	Is	this	the	Love,	is	this	the	re	com	pence	
1163	stress	Is this the Love, is this the recompence	1	2	1	4	1	2	1	4	1	2	
1163	juncture	Is this the Love, is this the recompence	2	4	2	5	2	4	2	1	1	3	
1163	comment	Is this the Love, is this the recompence	recompense in Milton: 5 in SWS; 312										
1164	syllables	Of mine to thee, ingrateful Eve, exprest	Of	mine	to	thee,	in	grate	ful	Eve,	ex	prest	
1164	stress	Of mine to thee, ingrateful Eve, exprest	1	3	1	4	1	3	1	4	1	3	
1164	juncture	Of mine to thee, ingrateful Eve, exprest	2	4	2	5	1	1	3	5	1	3	
1164	comment	Of mine to thee, ingrateful Eve, exprest											
1165	syllables	Immutable when thou wert lost, not I,	Im	mu	ta	ble	when	thou	wert	lost,	not	I,	
1165	stress	Immutable when thou wert lost, not I,	1	3	1	1	1	4	1	3	3	4	
1165	juncture	Immutable when thou wert lost, not I,	1	1	1	4	2	2	2	5	2	5	
1165	comment	Immutable when thou wert lost, not I,											
1166	syllables	Who might have liv'd and joyd immortal bliss,	Who	might	have	liv'd	and	joyd	im	mor	tal	bliss,	
1166	stress	Who might have liv'd and joyd immortal bliss,	1	1	1	3	1	3	1	3	1	4	
1166	juncture	Who might have liv'd and joyd immortal bliss,	2	2	2	4	2	3	1	1	3	5	
1166	comment	Who might have liv'd and joyd immortal bliss,											
1167	syllables	Yet willingly chose rather Death with thee:	Yet	wil	lin	gly	chose	ra	ther	Death	with	thee:	
1167	stress	Yet willingly chose rather Death with thee:	1	3	1	1	3	3	1	3	1	4	
1167	juncture	Yet willingly chose rather Death with thee:	2	1	1	4	3	1	3	4	2	5	
1167	comment	Yet willingly chose rather Death with thee:											
1168	syllables	And am I now upbraided, as the cause	And	am	I	now	up	brai	ded,	as	the	cause	
1168	stress	And am I now upbraided, as the cause	1	1	1	3	1	4	1	1	1	3	
1168	juncture	And am I now upbraided, as the cause	2	2	2	3	1	1	5	2	2	3	
1168	comment	And am I now upbraided, as the cause											
1169	syllables	Of thy transgressing? not enough severe,	Of	thy	trans	gres	sing?	not	e	nough	se	vere,	
1169	stress	Of thy transgressing? not enough severe,	1	3	1	4	1	1	1	3	1	4	
1169	juncture	Of thy transgressing? not enough severe,	2	2	1	1	5	2	1	4	1	5	
1169	comment	Of thy transgressing? not enough severe,											
1170	syllables	It seems, in thy restraint: what could I more?	It	seems,	in	thy	res	traint:	what	could	I	more?	
1170	stress	It seems, in thy restraint: what could I more?	1	3	1	1	1	4	2	1	1	4	
1170	juncture	It seems, in thy restraint: what could I more?	2	5	2	2	1	5	2	2	2	5	
1170	comment	It seems, in thy restraint: what could I more?											
1171	syllables	I warn'd thee, I admonish'd thee, foretold	I	warn'd	thee,	I	ad	mo	nish'd	thee,	fore	told	
1171	stress	I warn'd thee, I admonish'd thee, foretold	1	4	1	1	1	4	1	1	1	3	
1171	juncture	I warn'd thee, I admonish'd thee, foretold	2	2	5	2	1	1	2	5	1	3	
1171	comment	I warn'd thee, I admonish'd thee, foretold											
1172	syllables	The danger, and the lurking Enemie	The	dan	ger,	and	the	lur	king	E	ne	mie	
1172	stress	The danger, and the lurking Enemie	1	4	1	1	1	3	1	4	1	1	
1172	juncture	The danger, and the lurking Enemie	2	1	5	2	2	1	3	1	1	3	
1172	comment	The danger, and the lurking Enemie											
1173	syllables	That lay in wait; beyond this had bin force,	That	lay	in	wait;	be	yond	this	had	bin	force,	
1173	stress	That lay in wait; beyond this had bin force,	1	3	1	4	1	2	1	1	1	4	
1173	juncture	That lay in wait; beyond this had bin force,	2	3	2	5	1	2	3	2	2	5	
1173	comment	That lay in wait; beyond this had bin force,											
1174	syllables	And force upon free Will hath here no place.	And	force	u	pon	free	Will	hath	here	no	place.	
1174	stress	And force upon free Will hath here no place.	1	3	1	2	2	4	1	3	1	4	
1174	juncture	And force upon free Will hath here no place.	2	3	1	2	3	4	2	3	2	5	
1174	comment	And force upon free Will hath here no place.	free will in Milton: 5 WS, 2 SW; compound?										
1175	syllables	But confidence then bore thee on, secure	But	con	fi	dence	then	bore	thee	on,	se	cure	
1175	stress	But confidence then bore thee on, secure	1	3	1	1	1	3	1	4	1	3	
1175	juncture	But confidence then bore thee on, secure	2	1	1	4	2	2	3	5	1	4	
1175	comment	But confidence then bore thee on, secure	stressed particle										
1176	syllables	Either to meet no danger, or to finde	Ei	ther	to	meet	no	dan	ger,	or	to	finde	
1176	stress	Either to meet no danger, or to finde	2	1	1	3	1	4	1	1	1	3	
1176	juncture	Either to meet no danger, or to finde	1	3	2	3	2	1	5	2	2	3	
1176	comment	Either to meet no danger, or to finde											
1177	syllables	Matter of glorious trial; and perhaps	Mat	ter	of	glo	ri ous	tri	al;	and	per	haps	
1177	stress	Matter of glorious trial; and perhaps	3	1	1	3	1	4	1	1	1	3	
1177	juncture	Matter of glorious trial; and perhaps	1	3	2	1	3	1	5	2	1	3	
1177	comment	Matter of glorious trial; and perhaps											
1178	syllables	I also err'd in overmuch admiring	I	al	so	err'd	in	o	ver	much	ad	mi	ring
1178	stress	I also err'd in overmuch admiring	1	3	1	3	1	2	1	3	1	3	1
1178	juncture	I also err'd in overmuch admiring	2	1	3	4	2	1	1	3	1	1	3
1178	comment	I also err'd in overmuch admiring											
1179	syllables	What seemd in thee so perfet, that I thought	What	seemd	in	thee	so	per	fet,	that	I	thought	
1179	stress	What seemd in thee so perfet, that I thought	1	3	1	2	1	4	1	1	1	3	
1179	juncture	What seemd in thee so perfet, that I thought	2	3	2	3	2	1	5	2	2	3	
1179	comment	What seemd in thee so perfet, that I thought											
1180	syllables	No evil durst attempt thee, but I rue	No	e	vil	durst	at	tempt	thee,	but	I	rue	
1180	stress	No evil durst attempt thee, but I rue	1	3	1	1	1	4	1	1	1	4	
1180	juncture	No evil durst attempt thee, but I rue	2	1	4	2	1	2	5	2	2	3	
1180	comment	No evil durst attempt thee, but I rue	evil in Milton: >25 WS in full position; >10 in final position; 8 that aren't obvious, most can undergo paraphonology with neighboring syllable.  BH I assume you mean WS!										
1181	syllables	That errour now, which is become my crime,	That	er	rour	now,	which	is	be	come	my	crime,	
1181	stress	That errour now, which is become my crime,	1	3	1	3	1	1	1	3	1	4	
1181	juncture	That errour now, which is become my crime,	2	1	4	5	2	2	1	3	2	5	
1181	comment	That errour now, which is become my crime,											
1182	syllables	And thou th' accuser. Thus it shall befall	And	thou	th' ac	cu	ser.	Thus	it	shall	be	fall	
1182	stress	And thou th' accuser. Thus it shall befall	1	2	1	4	1	2	1	1	1	4	
1182	juncture	And thou th' accuser. Thus it shall befall	2	4	1	1	5	2	2	2	1	2	
1182	comment	And thou th' accuser. Thus it shall befall											
1183	syllables	Him who to worth in Women overtrusting	Him	who	to	worth	in	Wo	men	o	ver	trus	ting
1183	stress	Him who to worth in Women overtrusting	1	1	1	3	1	3	1	2	1	4	1
1183	juncture	Him who to worth in Women overtrusting	3	2	2	3	2	1	4	1	1	1	4
1183	comment	Him who to worth in Women overtrusting											
1184	syllables	Lets her Will rule; restraint she will not brook,	Lets	her	Will	rule;	res	traint	she	will	not	brook,	
1184	stress	Lets her Will rule; restraint she will not brook,	3	1	3	4	1	3	1	1	1	4	
1184	juncture	Lets her Will rule; restraint she will not brook,	3	2	4	5	1	4	2	2	2	5	
1184	comment	Lets her Will rule; restraint she will not brook,											
1185	syllables	And left to her self, if evil thence ensue,	And	left	to her	self,	if	e	vil	thence	en	sue,	
1185	stress	And left to her self, if evil thence ensue,	1	3	1	4	1	3	1	2	1	4	
1185	juncture	And left to her self, if evil thence ensue,	2	3	2	5	2	1	4	2	1	5	
1185	comment	And left to her self, if evil thence ensue,	evil in Milton: >25 WS in full position; >10 in final position; 8 that aren't obvious, most can undergo paraphonology with neighboring syllable.  BH I assume you mean WS!										
1186	syllables	Shee first his weak indulgence will accuse.	Shee	first	his	weak	in	dul	gence	will	ac	cuse.	
1186	stress	Shee first his weak indulgence will accuse.	2	3	1	3	1	4	1	1	1	4	
1186	juncture	Shee first his weak indulgence will accuse.	3	3	2	3	1	1	4	2	1	5	
1186	comment	Shee first his weak indulgence will accuse.											
1187	syllables	Thus they in mutual accusation spent	Thus	they	in	mu	tu al	ac	cu	sa	tion	spent	
1187	stress	Thus they in mutual accusation spent	1	1	1	3	1	2	1	3	1	3	
1187	juncture	Thus they in mutual accusation spent	2	2	2	1	3	1	1	1	4	3	
1187	comment	Thus they in mutual accusation spent											
1188	syllables	The fruitless hours, but neither self-condemning,	The	fruit	less	hours,	but	nei	ther	self-	con	dem	ning,
1188	stress	The fruitless hours, but neither self-condemning,	1	3	1	4	1	3	1	2	1	4	1
1188	juncture	The fruitless hours, but neither self-condemning,	2	1	3	5	2	1	4	2	1	1	5
1188	comment	The fruitless hours, but neither self-condemning,											
1189	syllables	And of thir vain contest appeer'd no end.	And	of	thir	vain	con	test	ap	peer'd	no	end.	
1189	stress	And of thir vain contest appeer'd no end.	1	1	1	3	1	4	1	3	1	4	
1189	juncture	And of thir vain contest appeer'd no end.	2	2	2	3	1	4	1	3	2	5	
1189	comment	And of thir vain contest appeer'd no end.											
1190	syllables	Meanwhile the hainous and despightfull act	Mean	while	the	hai	nous	and	des	pight	full	act	
1190	stress	Meanwhile the hainous and despightfull act	3	2	1	3	1	1	1	3	1	3	
1190	juncture	Meanwhile the hainous and despightfull act	2	3	2	1	3	2	1	1	3	3	
1190	comment	Meanwhile the hainous and despightfull act	poem initial										
1191	syllables	Of Satan done in Paradise, and how	Of	Sa	tan	done	in	Pa	ra	dise,	and	how	
1191	stress	Of Satan done in Paradise, and how	1	4	1	3	1	4	1	1	1	1	
1191	juncture	Of Satan done in Paradise, and how	2	1	4	3	2	1	1	5	2	2	
1191	comment	Of Satan done in Paradise, and how											
1192	syllables	Hee in the Serpent, had perverted Eve,	Hee	in	the	Ser	pent,	had	per	ver	ted	Eve,	
1192	stress	Hee in the Serpent, had perverted Eve,	3	1	1	4	1	1	1	3	1	4	
1192	juncture	Hee in the Serpent, had perverted Eve,	4	2	2	1	5	2	1	1	3	5	
1192	comment	Hee in the Serpent, had perverted Eve,											
1193	syllables	Her Husband shee, to taste the fatall fruit,	Her	Hus	band	shee,	to	taste	the	fa	tall	fruit,	
1193	stress	Her Husband shee, to taste the fatall fruit,	1	3	1	4	1	3	1	3	1	4	
1193	juncture	Her Husband shee, to taste the fatall fruit,	2	1	4	5	2	3	2	1	3	5	
1193	comment	Her Husband shee, to taste the fatall fruit,											
1194	syllables	Was known in Heav'n; for what can scape the Eye	Was	known	in	Heav'n;	for	what	can	scape	the	Eye	
1194	stress	Was known in Heav'n; for what can scape the Eye	1	3	1	4	1	2	1	3	1	3	
1194	juncture	Was known in Heav'n; for what can scape the Eye	2	3	2	5	2	2	2	3	2	3	
1194	comment	Was known in Heav'n; for what can scape the Eye											
1195	syllables	Of God All-seeing, or deceave his Heart	Of	God	All-	see	ing,	or	de	ceave	his	Heart	
1195	stress	Of God All-seeing, or deceave his Heart	1	3	2	4	1	1	1	3	1	3	
1195	juncture	Of God All-seeing, or deceave his Heart	2	3	2	1	5	2	1	3	2	3	
1195	comment	Of God All-seeing, or deceave his Heart											
1196	syllables	Omniscient, who in all things wise and just,	Om	nis	cient,	who	in	all	things	wise	and	just,	
1196	stress	Omniscient, who in all things wise and just,	1	4	1	1	1	3	2	3	1	4	
1196	juncture	Omniscient, who in all things wise and just,	1	1	5	2	2	2	4	4	2	5	
1196	comment	Omniscient, who in all things wise and just,	all things in Milton: >30 SW: 12 RR ;5 postpausal; acts as compound										
1197	syllables	Hinder'd not Satan to attempt the minde	Hin	der'd	not	Sa	tan	to	at	tempt	the	minde	
1197	stress	Hinder'd not Satan to attempt the minde	3	1	1	3	1	1	1	3	1	3	
1197	juncture	Hinder'd not Satan to attempt the minde	1	2	3	1	4	2	1	3	2	3	
1197	comment	Hinder'd not Satan to attempt the minde											
1198	syllables	Of Man, with strength entire, and free will arm'd,	Of	Man,	with	strength	en	tire,	and	free	will	arm'd,	
1198	stress	Of Man, with strength entire, and free will arm'd,	1	4	1	3	1	4	1	3	2	4	
1198	juncture	Of Man, with strength entire, and free will arm'd,	2	5	2	3	1	5	2	3	4	5	
1198	comment	Of Man, with strength entire, and free will arm'd,	free will in Milton: 5 WS, 2 SW; compound? / RR										
1199	syllables	Complete to have discover'd and repulst	Com	plete	to	have	dis	co	ver'd	and	re	pulst	
1199	stress	Complete to have discover'd and repulst	1	3	1	1	1	3	1	1	1	3	
1199	juncture	Complete to have discover'd and repulst	1	3	2	2	1	1	4	2	1	3	
1199	comment	Complete to have discover'd and repulst											
1200	syllables	Whatever wiles of Foe or seeming Friend.	What	ev	er	wiles	of	Foe	or	see	ming	Friend.	
1200	stress	Whatever wiles of Foe or seeming Friend.	1	3	1	3	1	3	1	3	1	4	
1200	juncture	Whatever wiles of Foe or seeming Friend.	1	1	3	3	2	4	2	1	3	5	
1200	comment	Whatever wiles of Foe or seeming Friend.											
1201	syllables	For still they knew, and ought to have still remember'd	For	still	they	knew,	and	ought	to have	still	re	mem	ber'd
1201	stress	For still they knew, and ought to have still remember'd	1	3	1	4	1	3	1	3	1	3	1
1201	juncture	For still they knew, and ought to have still remember'd	2	3	2	5	2	3	2	3	1	1	3
1201	comment	For still they knew, and ought to have still remember'd											
1202	syllables	The high Injunction not to taste that Fruit,	The	high	In	junc	tion	not	to	taste	that	Fruit,	
1202	stress	The high Injunction not to taste that Fruit,	1	3	1	4	1	1	1	3	1	4	
1202	juncture	The high Injunction not to taste that Fruit,	2	3	1	1	3	2	2	3	2	5	
1202	comment	The high Injunction not to taste that Fruit,											
1203	syllables	Whoever tempted; which they not obeying,	Who	e	ver	temp	ted;	which	they	not	o	be	ying,
1203	stress	Whoever tempted; which they not obeying,	1	3	1	4	1	1	1	1	1	4	1
1203	juncture	Whoever tempted; which they not obeying,	1	1	4	1	5	2	2	2	1	1	4
1203	comment	Whoever tempted; which they not obeying,											
1204	syllables	Incurr'd, what could they less, the penaltie,	In	curr'd,	what	could	they	less,	the	pe	nal	tie,	
1204	stress	Incurr'd, what could they less, the penaltie,	1	4	2	1	1	4	1	4	1	1	
1204	juncture	Incurr'd, what could they less, the penaltie,	1	5	2	2	2	5	2	1	1	5	
1204	comment	Incurr'd, what could they less, the penaltie,											
1205	syllables	And manifold in sin, deserv'd to fall.	And	ma	ni	fold	in	sin,	de	serv'd	to	fall.	
1205	stress	And manifold in sin, deserv'd to fall.	1	3	1	1	1	4	1	3	1	4	
1205	juncture	And manifold in sin, deserv'd to fall.	2	1	1	3	2	5	1	3	2	5	
1205	comment	And manifold in sin, deserv'd to fall.											
1206	syllables	Up into Heav'n from Paradise in haste	Up	in	to	Heav'n	from	Pa	ra	dise	in	haste	
1206	stress	Up into Heav'n from Paradise in haste	3	2	1	3	1	3	1	1	1	4	
1206	juncture	Up into Heav'n from Paradise in haste	3	1	2	4	2	1	1	4	2	4	
1206	comment	Up into Heav'n from Paradise in haste	into in Milton: 44 WS; 32 SW; 62 postpausal.  All but 2 of the SW are in RR contexts.  Shakespeare is similar.										
1207	syllables	Th' Angelic Guards ascended, mute and sad	Th' An	ge	lic	Guards	as	cen	ded,	mute	and	sad	
1207	stress	Th' Angelic Guards ascended, mute and sad	1	3	1	3	1	4	1	3	1	3	
1207	juncture	Th' Angelic Guards ascended, mute and sad	1	1	3	4	1	1	5	4	2	3	
1207	comment	Th' Angelic Guards ascended, mute and sad											
1208	syllables	For Man, for of his state by this they knew,	For	Man,	for	of	his	state	by	this	they	knew,	
1208	stress	For Man, for of his state by this they knew,	1	4	1	1	1	3	1	2	1	4	
1208	juncture	For Man, for of his state by this they knew,	2	5	2	2	2	4	2	4	2	5	
1208	comment	For Man, for of his state by this they knew,											
1209	syllables	Much wondring how the suttle Fiend had stoln	Much	won	dring	how	the	sutt	le	Fiend	had	stoln	
1209	stress	Much wondring how the suttle Fiend had stoln	1	3	1	1	1	3	1	4	1	3	
1209	juncture	Much wondring how the suttle Fiend had stoln	3	1	3	2	2	1	3	4	2	3	
1209	comment	Much wondring how the suttle Fiend had stoln											
1210	syllables	Entrance unseen. Soon as th' unwelcome news	En	trance	un	seen.	Soon	as	th' un	wel	come	news	
1210	stress	Entrance unseen. Soon as th' unwelcome news	3	1	1	4	3	1	1	3	1	3	
1210	juncture	Entrance unseen. Soon as th' unwelcome news	1	4	1	5	3	2	1	1	3	3	
1210	comment	Entrance unseen. Soon as th' unwelcome news											
1211	syllables	From Earth arriv'd at Heaven Gate, displeas'd	From	Earth	ar	riv'd	at	Hea	ven	Gate,	dis	pleas'd	
1211	stress	From Earth arriv'd at Heaven Gate, displeas'd	1	4	1	3	1	3	1	4	1	3	
1211	juncture	From Earth arriv'd at Heaven Gate, displeas'd	2	4	1	3	2	1	3	5	1	4	
1211	comment	From Earth arriv'd at Heaven Gate, displeas'd											
1212	syllables	All were who heard, dim sadness did not spare	All	were	who	heard,	dim	sad	ness	did	not	spare	
1212	stress	All were who heard, dim sadness did not spare	1	2	1	4	3	4	1	1	1	4	
1212	juncture	All were who heard, dim sadness did not spare	2	4	2	5	3	1	4	2	2	3	
1212	comment	All were who heard, dim sadness did not spare											
1213	syllables	That time Celestial visages, yet mixt	That	time	Ce	les	tial	vi	sa	ges,	yet	mixt	
1213	stress	That time Celestial visages, yet mixt	1	3	1	3	1	4	1	1	1	3	
1213	juncture	That time Celestial visages, yet mixt	2	4	1	1	3	1	1	5	2	3	
1213	comment	That time Celestial visages, yet mixt											
1214	syllables	With pitie, violated not thir bliss.	With	pi	tie,	vi	o	la	ted	not	thir	bliss.	
1214	stress	With pitie, violated not thir bliss.	1	4	1	3	1	2	1	1	1	4	
1214	juncture	With pitie, violated not thir bliss.	2	1	5	1	1	1	2	3	2	5	
1214	comment	With pitie, violated not thir bliss.											
1215	syllables	About the new-arriv'd, in multitudes	A	bout	the	new-	ar	riv'd,	in	mul	ti	tudes	
1215	stress	About the new-arriv'd, in multitudes	1	2	1	2	1	4	1	4	1	1	
1215	juncture	About the new-arriv'd, in multitudes	1	2	2	2	1	5	2	1	1	4	
1215	comment	About the new-arriv'd, in multitudes											
1216	syllables	Th' ethereal People ran, to hear and know	Th' e	the	re al	Peo	ple	ran,	to	hear	and	know	
1216	stress	Th' ethereal People ran, to hear and know	1	3	1	3	1	4	1	3	1	4	
1216	juncture	Th' ethereal People ran, to hear and know	1	1	3	1	4	5	2	4	2	3	
1216	comment	Th' ethereal People ran, to hear and know											
1217	syllables	How all befell: they towards the Throne Supream	How	all	be	fell:	they	towards	the	Throne	Su	pream	
1217	stress	How all befell: they towards the Throne Supream	2	2	1	4	1	1	1	3	1	4	
1217	juncture	How all befell: they towards the Throne Supream	3	4	1	5	2	2	2	3	1	4	
1217	comment	How all befell: they towards the Throne Supream											
1218	syllables	Accountable made haste to make appear	Ac	coun	ta	ble	made	haste	to	make	ap	pear	
1218	stress	Accountable made haste to make appear	1	3	1	1	3	4	1	3	1	4	
1218	juncture	Accountable made haste to make appear	1	1	1	4	3	4	2	3	1	4	
1218	comment	Accountable made haste to make appear											
1219	syllables	With righteous plea, thir utmost vigilance,	With	righ	teous	plea,	thir	ut	most	vi	gi	lance,	
1219	stress	With righteous plea, thir utmost vigilance,	1	3	1	4	1	3	2	4	1	1	
1219	juncture	With righteous plea, thir utmost vigilance,	2	1	3	5	2	2	3	1	1	5	
1219	comment	With righteous plea, thir utmost vigilance,											
1220	syllables	And easily approv'd; when the most High	And	ea	si	ly	ap	prov'd;	when	the	most	High	
1220	stress	And easily approv'd; when the most High	1	3	1	1	1	4	1	1	2	3	
1220	juncture	And easily approv'd; when the most High	2	1	1	3	1	5	2	2	2	3	
1220	comment	And easily approv'd; when the most High											
1221	syllables	Eternal Father from his secret Cloud,	E	ter	nal	Fa	ther	from	his	se	cret	Cloud,	
1221	stress	Eternal Father from his secret Cloud,	1	3	1	3	1	1	1	3	1	4	
1221	juncture	Eternal Father from his secret Cloud,	1	1	3	1	4	2	2	1	3	5	
1221	comment	Eternal Father from his secret Cloud,											
1222	syllables	Amidst in Thunder utter'd thus his voice.	A	midst	in	Thun	der	ut	ter'd	thus	his	voice.	
1222	stress	Amidst in Thunder utter'd thus his voice.	1	2	1	4	1	3	1	1	1	4	
1222	juncture	Amidst in Thunder utter'd thus his voice.	1	2	2	1	4	1	3	2	2	5	
1222	comment	Amidst in Thunder utter'd thus his voice.											
1223	syllables	Assembl'd Angels, and ye Powers return'd	As	sem	bl'd	An	gels,	and	ye	Po wers	re	turn'd	
1223	stress	Assembl'd Angels, and ye Powers return'd	1	3	1	4	1	1	1	3	1	4	
1223	juncture	Assembl'd Angels, and ye Powers return'd	1	1	3	1	5	2	2	3	1	3	
1223	comment	Assembl'd Angels, and ye Powers return'd											
1224	syllables	From unsuccessful charge, be not dismaid,	From	un	suc	cess	ful	charge,	be	not	dis	maid,	
1224	stress	From unsuccessful charge, be not dismaid,	1	3	1	2	1	4	1	1	1	4	
1224	juncture	From unsuccessful charge, be not dismaid,	2	1	1	1	3	5	2	2	1	5	
1224	comment	From unsuccessful charge, be not dismaid,	RR										
1225	syllables	Nor troubl'd at these tidings from the Earth,	Nor	trou	bl'd	at	these	ti	dings	from	the	Earth,	
1225	stress	Nor troubl'd at these tidings from the Earth,	1	3	1	1	1	3	1	1	1	4	
1225	juncture	Nor troubl'd at these tidings from the Earth,	2	1	3	2	2	1	3	2	2	5	
1225	comment	Nor troubl'd at these tidings from the Earth,											
1226	syllables	Which your sincerest care could not prevent,	Which	your	sin	ce	rest	care	could	not	pre	vent,	
1226	stress	Which your sincerest care could not prevent,	1	1	1	3	1	4	1	1	1	4	
1226	juncture	Which your sincerest care could not prevent,	2	2	1	1	3	4	2	2	1	5	
1226	comment	Which your sincerest care could not prevent,											
1227	syllables	Foretold so lately what would come to pass,	Fore	told	so	late	ly	what	would	come	to	pass,	
1227	stress	Foretold so lately what would come to pass,	1	3	1	4	1	1	1	3	1	4	
1227	juncture	Foretold so lately what would come to pass,	1	3	2	1	4	2	2	3	2	5	
1227	comment	Foretold so lately what would come to pass,											
1228	syllables	When first this Tempter cross'd the Gulf from Hell.	When	first	this	Temp	ter	cross'd	the	Gulf	from	Hell.	
1228	stress	When first this Tempter cross'd the Gulf from Hell.	1	3	1	3	1	3	1	3	1	4	
1228	juncture	When first this Tempter cross'd the Gulf from Hell.	2	3	2	1	4	3	2	4	2	5	
1228	comment	When first this Tempter cross'd the Gulf from Hell.											
1229	syllables	I told ye then he should prevail and speed	I	told	ye	then	he	should	pre	vail	and	speed	
1229	stress	I told ye then he should prevail and speed	1	3	1	1	1	1	1	3	1	3	
1229	juncture	I told ye then he should prevail and speed	2	3	2	2	2	2	1	4	2	3	
1229	comment	I told ye then he should prevail and speed											
1230	syllables	On his bad Errand, Man should be seduc't	On	his	bad	Er	rand,	Man	should	be	se	duc't	
1230	stress	On his bad Errand, Man should be seduc't	1	1	3	4	1	3	1	1	1	4	
1230	juncture	On his bad Errand, Man should be seduc't	2	2	3	1	5	4	2	2	1	4	
1230	comment	On his bad Errand, Man should be seduc't											
1231	syllables	And flatter'd out of all, believing lies	And	flat	ter'd	out	of	all,	be	lie	ving	lies	
1231	stress	And flatter'd out of all, believing lies	1	3	1	1	1	4	1	3	1	4	
1231	juncture	And flatter'd out of all, believing lies	2	1	3	2	2	5	1	1	3	3	
1231	comment	And flatter'd out of all, believing lies											
1232	syllables	Against his Maker; no Decree of mine	A	gainst	his	Ma	ker;	no	De	cree	of	mine	
1232	stress	Against his Maker; no Decree of mine	1	2	1	4	1	1	1	3	1	4	
1232	juncture	Against his Maker; no Decree of mine	1	2	2	1	5	2	1	3	2	4	
1232	comment	Against his Maker; no Decree of mine											
1233	syllables	Concurring to necessitate his Fall,	Con	cur	ring	to	ne	ces	si	tate	his	Fall,	
1233	stress	Concurring to necessitate his Fall,	1	3	1	1	1	3	1	1	1	4	
1233	juncture	Concurring to necessitate his Fall,	1	1	3	2	1	1	1	3	2	5	
1233	comment	Concurring to necessitate his Fall,											
1234	syllables	Or touch with lightest moment of impulse	Or	touch	with	ligh	test	mo	ment	of	im	pulse	
1234	stress	Or touch with lightest moment of impulse	1	3	1	3	1	4	1	1	1	4	
1234	juncture	Or touch with lightest moment of impulse	2	3	2	1	3	1	3	2	1	4	
1234	comment	Or touch with lightest moment of impulse	impulse in Milton: 4 WS										
1235	syllables	His free Will, to her own inclining left	His	free	Will,	to	her	own	in	cli	ning	left	
1235	stress	His free Will, to her own inclining left	1	3	4	1	1	3	1	4	1	3	
1235	juncture	His free Will, to her own inclining left	2	3	5	2	2	3	1	1	4	3	
1235	comment	His free Will, to her own inclining left	free will in Milton: 5 WS, 2 SW; compound?										
1236	syllables	In eevn scale. But fall'n he is, and now	In	ee	vn	scale.	But	fall' n	he	is,	and	now	
1236	stress	In eevn scale. But fall'n he is, and now	1	3	1	4	1	3	1	4	1	3	
1236	juncture	In eevn scale. But fall'n he is, and now	2	1	3	5	2	4	2	5	2	4	
1236	comment	In eevn scale. But fall'n he is, and now											
1237	syllables	What rests but that the mortal Sentence pass	What	rests	but	that	the	mor	tal	Sen	tence	pass	
1237	stress	What rests but that the mortal Sentence pass	1	3	1	1	1	3	1	4	1	3	
1237	juncture	What rests but that the mortal Sentence pass	2	4	2	2	2	1	3	1	4	3	
1237	comment	What rests but that the mortal Sentence pass											
1238	syllables	On his transgression Death denounc't that day,	On	his	trans	gres	sion	Death	de	nounc't	that	day,	
1238	stress	On his transgression Death denounc't that day,	1	1	1	3	1	3	1	3	1	4	
1238	juncture	On his transgression Death denounc't that day,	2	2	1	1	4	4	1	3	2	5	
1238	comment	On his transgression Death denounc't that day,											
1239	syllables	Which he presumes already vain and void,	Which	he	pre	sumes	al	rea	dy	vain	and	void,	
1239	stress	Which he presumes already vain and void,	1	1	1	3	1	3	1	3	1	4	
1239	juncture	Which he presumes already vain and void,	2	2	1	3	1	1	3	4	2	5	
1239	comment	Which he presumes already vain and void,											
