# source: http://www.linguistics.ucla.edu/people/hayes/ShakespeareAndMilton/
# author: shakespeare
# title: sonnets
# coder: bruce hayes
1	syllables	From fairest creatures we desire increase,	From	fai	rest	crea	tures	we	de	sire	in	crease,	
1265	stress	And every humour hath his adjunct pleasure,	1	2	1	3	1	1	1	3	1	4	1
1265	juncture	And every humour hath his adjunct pleasure,	2	1	2	1	4	2	2	1	3	1	5
1265	comment	And every humour hath his adjunct pleasure,											
1266	syllables	Wherein it finds a joy above the rest:	Where	in	it	finds	a	joy	a	bove	the	rest:	
1266	stress	Wherein it finds a joy above the rest:	1	2	1	3	1	3	1	2	1	4	
1266	juncture	Wherein it finds a joy above the rest:	1	2	2	3	2	3	1	2	2	5	
1266	comment	Wherein it finds a joy above the rest:											
1267	syllables	But these particulars are not my measure,	But	these	par	ti	cu	lars	are	not	my	mea	sure,
1267	stress	But these particulars are not my measure,	1	4	1	2	1	1	1	1	4	3	1
1267	juncture	But these particulars are not my measure,	2	2	1	1	1	4	2	2	2	1	5
1267	comment	But these particulars are not my measure,	contrast										
1268	syllables	All these I better in one general best.	All	these	I	bet	ter	in	one	ge	ne ral	best.	
1268	stress	All these I better in one general best.	1	3	1	3	1	1	1	3	1	4	
1268	juncture	All these I better in one general best.	2	4	2	1	4	2	2	1	3	5	
1268	comment	All these I better in one general best.											
1269	syllables	Thy love is better than high birth to me,	Thy	love	is	bet	ter	than	high	birth	to	me,	
1269	stress	Thy love is better than high birth to me,	1	3	1	3	1	1	3	4	1	1	
1269	juncture	Thy love is better than high birth to me,	2	4	2	1	3	2	3	4	2	5	
1269	comment	Thy love is better than high birth to me,											
1270	syllables	Richer than wealth, prouder than garments' cost,	Ri	cher	than	wealth,	prou	der	than	gar	ments'	costs,	
1270	stress	Richer than wealth, prouder than garments' cost,	3	1	1	4	3	1	1	3	1	4	
1270	juncture	Richer than wealth, prouder than garments' cost,	1	3	2	5	1	3	2	1	4	5	
1270	comment	Richer than wealth, prouder than garments' cost,											
1271	syllables	Of more delight than hawks and horses be;	Of	more	de	light	than	hawks	and	hors	es	be;	
1271	stress	Of more delight than hawks and horses be;	1	1	1	3	1	3	1	3	1	1	
1271	juncture	Of more delight than hawks and horses be;	2	2	1	4	2	4	2	4	3	5	
1271	comment	Of more delight than hawks and horses be;											
1272	syllables	And having thee, of all men's pride I boast:	And	ha	ving	thee,	of	all	men's	pride	I	boast:	
1272	stress	And having thee, of all men's pride I boast:	1	2	1	4	1	1	3	4	1	4	
1272	juncture	And having thee, of all men's pride I boast:	2	1	2	5	2	2	4	4	2	5	
1272	comment	And having thee, of all men's pride I boast:											
1273	syllables	Wretched in this alone, that thou mayst take	Wret	ched	in	this	a	lone,	that	thou	mayst	take	
1273	stress	Wretched in this alone, that thou mayst take	3	1	1	3	1	4	1	1	1	3	
1273	juncture	Wretched in this alone, that thou mayst take	1	3	2	2	1	5	2	2	2	3	
1273	comment	Wretched in this alone, that thou mayst take											
1274	syllables	All this away, and me most wretchcd make.	All	this	a	way,	and	me	most	wretch	ed	make.	
1274	stress	All this away, and me most wretchcd make.	1	3	1	4	1	2	1	4	1	3	
1274	juncture	All this away, and me most wretchcd make.	2	4	1	5	2	4	2	1	4	5	
1274	comment	All this away, and me most wretchcd make.											
1275	syllables	But do thy worst to steal thyself away,	But	do	thy	worst	to	steal	thy	self	a	way,	
1275	stress	But do thy worst to steal thyself away,	1	2	1	4	1	3	1	2	1	4	
1275	juncture	But do thy worst to steal thyself away,	2	2	2	4	2	3	1	4	1	5	
1275	comment	But do thy worst to steal thyself away,	poem initial										
1276	syllables	For term of life thou art assured mine;	For	term	of	life	thou	art	as	su	red	mine;	
1276	stress	For term of life thou art assured mine;	1	3	1	4	1	1	1	3	1	4	
1276	juncture	For term of life thou art assured mine;	2	3	2	4	2	2	1	1	3	5	
1276	comment	For term of life thou art assured mine;											
1277	syllables	And life no longer than thy love will stay,	And	life	no	lon	ger	than	thy	love	will	stay,	
1277	stress	And life no longer than thy love will stay,	1	3	1	3	1	1	1	4	1	3	
1277	juncture	And life no longer than thy love will stay,	2	3	2	1	3	2	2	4	2	5	
1277	comment	And life no longer than thy love will stay,											
1278	syllables	For it depends upon that love of thine.	For	it	de	pends	u	pon	that	love	of	thine.	
1278	stress	For it depends upon that love of thine.	1	1	1	3	1	2	1	3	1	4	
1278	juncture	For it depends upon that love of thine.	2	2	1	3	1	2	2	4	2	5	
1278	comment	For it depends upon that love of thine.											
1279	syllables	Then need I not to fear the worst of wrongs,	Then	need	I	not	to	fear	the	worst	of	wrongs,	
1279	stress	Then need I not to fear the worst of wrongs,	1	3	1	1	1	3	1	3	1	4	
1279	juncture	Then need I not to fear the worst of wrongs,	2	3	2	3	2	3	2	3	2	5	
1279	comment	Then need I not to fear the worst of wrongs,											
1280	syllables	When in the least of them my life hath end.	When	in	the	least	of	them	my	life	hath	end.	
1280	stress	When in the least of them my life hath end.	1	1	1	3	1	1	1	3	1	4	
1280	juncture	When in the least of them my life hath end.	2	2	2	3	2	4	2	4	2	5	
1280	comment	When in the least of them my life hath end.											
1281	syllables	I see a better state to me belongs	I	see	a	bet	ter	state	to	me	be	longs	
1281	stress	I see a better state to me belongs	1	3	1	3	1	3	1	1	1	4	
1281	juncture	I see a better state to me belongs	2	3	2	1	3	4	2	3	1	4	
1281	comment	I see a better state to me belongs											
1282	syllables	Than that which on thy humour doth depend:	Than	that	which	on	thy	hu	mour	doth	de	pend:	
1282	stress	Than that which on thy humour doth depend:	1	2	1	1	1	4	1	1	1	3	
1282	juncture	Than that which on thy humour doth depend:	2	2	2	2	2	1	4	2	1	5	
1282	comment	Than that which on thy humour doth depend:											
1283	syllables	Thou canst not vex me with inconstant mind,	Thou	canst	not	vex	me	with	in	cons	tant	mind,	
1283	stress	Thou canst not vex me with inconstant mind,	1	1	1	3	1	1	1	3	1	4	
1283	juncture	Thou canst not vex me with inconstant mind,	2	2	2	2	3	2	1	1	3	5	
1283	comment	Thou canst not vex me with inconstant mind,											
1284	syllables	Since that my life on thy revolt doth lie.	Since	that	my	life	on	thy	re	volt	doth	lie.	
1284	stress	Since that my life on thy revolt doth lie.	1	1	1	3	1	1	1	3	1	4	
1284	juncture	Since that my life on thy revolt doth lie.	2	2	2	4	2	2	1	3	2	5	
1284	comment	Since that my life on thy revolt doth lie.											
1285	syllables	O! what a happy title do I find,	O!	what	a	hap	py	tit	le	do	I	find,	
1285	stress	O! what a happy title do I find,	4	1	1	3	1	4	1	1	1	4	
1285	juncture	O! what a happy title do I find,	2	2	2	1	3	1	4	2	2	5	
1285	comment	O! what a happy title do I find,											
1286	syllables	Happy to have thy love, happy to die!	Hap	py	to	have	thy	love,	hap	py	to	die!	
1286	stress	Happy to have thy love, happy to die!	3	1	1	2	1	4	3	1	1	4	
1286	juncture	Happy to have thy love, happy to die!	1	3	2	2	2	5	1	3	2	5	
1286	comment	Happy to have thy love, happy to die!											
1287	syllables	But what's so blessed-fair that fears no blot?	But	what's	so	bles	sed-	fair	that	fears	no	blot?	
1287	stress	But what's so blessed-fair that fears no blot?	1	3	1	2	1	4	1	3	1	4	
1287	juncture	But what's so blessed-fair that fears no blot?	2	3	2	1	2	4	2	3	2	5	
1287	comment	But what's so blessed-fair that fears no blot?											
1288	syllables	Thou mayst be false, and yet I know it not.	Thou	mayst	be	false,	and	yet	I	know	it	not.	
1288	stress	Thou mayst be false, and yet I know it not.	1	1	1	4	1	1	1	4	1	1	
1288	juncture	Thou mayst be false, and yet I know it not.	2	2	2	5	2	2	2	2	2	5	
1288	comment	Thou mayst be false, and yet I know it not.											
1289	syllables	So shall I live, supposing thou art true,	So	shall	I	live,	sup	po	sing	thou	art	true,	
1289	stress	So shall I live, supposing thou art true,	2	1	1	4	1	3	1	1	1	4	
1289	juncture	So shall I live, supposing thou art true,	2	2	2	5	1	1	3	2	2	5	
1289	comment	So shall I live, supposing thou art true,	poem initial										
1290	syllables	Like a deceived husband; so love's face	Like	a	de	cei	ved	hus	band;	so	love's	face	
1290	stress	Like a deceived husband; so love's face	1	1	1	3	1	4	1	1	3	4	
1290	juncture	Like a deceived husband; so love's face	2	2	1	1	3	1	5	2	4	4	
1290	comment	Like a deceived husband; so love's face											
1291	syllables	May still seem love to me, though alter'd new;	May	still	seem	love	to	me,	though	al	ter'd	new;	
1291	stress	May still seem love to me, though alter'd new;	2	3	2	3	1	2	1	3	1	4	
1291	juncture	May still seem love to me, though alter'd new;	2	3	3	4	2	5	2	1	3	5	
1291	comment	May still seem love to me, though alter'd new;											
1292	syllables	Thy looks with me, thy heart in other place:	Thy	looks	with	me,	thy	heart	in	o	ther	place:	
1292	stress	Thy looks with me, thy heart in other place:	1	3	1	4	1	3	1	4	1	3	
1292	juncture	Thy looks with me, thy heart in other place:	2	4	2	5	2	4	2	1	3	5	
1292	comment	Thy looks with me, thy heart in other place:											
1293	syllables	For there can live no hatred in thine eye,	For	there	can	live	no	ha	tred	in	thine	eye,	
1293	stress	For there can live no hatred in thine eye,	1	1	1	3	1	3	1	1	1	4	
1293	juncture	For there can live no hatred in thine eye,	2	2	2	3	2	1	4	2	2	5	
1293	comment	For there can live no hatred in thine eye,											
1294	syllables	Therefore in that I cannot know thy change.	There	fore	in	that	I	can-	not	know	thy	change.	
1294	stress	Therefore in that I cannot know thy change.	3	2	1	1	1	2	1	3	1	4	
1294	juncture	Therefore in that I cannot know thy change.	2	3	2	3	2	1	2	3	2	5	
1294	comment	Therefore in that I cannot know thy change.	Cannot in Shakespeare (sample), 4 post break, 24 prose, 61 pretonic (RR), 8 WS, 10 SW.  I think it's freely stressed, as in contemporary English,and should be stressed to match the meter.										
1295	syllables	In many's looks, the false heart's history	In	ma	ny's	looks,	the	FALSE	heart's	his	to	ry	
1295	stress	In many's looks, the false heart's history	1	3	1	4	1	3	3	4	1	1	
1295	juncture	In many's looks, the false heart's history	2	1	3	5	2	3	4	1	1	4	
1295	comment	In many's looks, the false heart's history											
1296	syllables	Is writ in moods, and frowns, and wrinkles strange.	Is	writ	in	moods,	and	frowns,	and	wrink	les	strange.	
1296	stress	Is writ in moods, and frowns, and wrinkles strange.	1	3	1	4	1	4	1	3	1	4	
1296	juncture	Is writ in moods, and frowns, and wrinkles strange.	2	3	2	4	2	4	2	1	3	5	
1296	comment	Is writ in moods, and frowns, and wrinkles strange.											
1297	syllables	But heaven in thy creation did decree	But	hea ven	in	thy	cre	a	tion	did	de	cree	
1297	stress	But heaven in thy creation did decree	1	3	1	1	1	3	1	1	1	4	
1297	juncture	But heaven in thy creation did decree	2	4	2	2	1	1	4	2	1	3	
1297	comment	But heaven in thy creation did decree											
1298	syllables	That in thy face sweet love should ever dwell;	That	in	thy	face	sweet	love	should	e	ver	dwell;	
1298	stress	That in thy face sweet love should ever dwell;	1	1	1	4	3	4	1	3	1	4	
1298	juncture	That in thy face sweet love should ever dwell;	2	2	2	4	3	4	2	1	3	5	
1298	comment	That in thy face sweet love should ever dwell;											
1299	syllables	Whate'er thy thoughts, or thy heart's workings be,	What-	e'er	thy	thoughts,	or	thy	heart's	wor	kings	be,	
1299	stress	Whate'er thy thoughts, or thy heart's workings be,	1	2	1	4	1	1	3	4	1	1	
1299	juncture	Whate'er thy thoughts, or thy heart's workings be,	2	2	2	5	2	2	3	1	4	5	
1299	comment	Whate'er thy thoughts, or thy heart's workings be,											
1300	syllables	Thy looks should nothing thence, but sweetness tell.	Thy	looks	should	no	thing	thence,	but	sweet	ness	tell.	
1300	stress	Thy looks should nothing thence, but sweetness tell.	1	3	1	3	1	4	1	3	1	4	
1300	juncture	Thy looks should nothing thence, but sweetness tell.	2	4	2	1	3	5	2	1	4	5	
1300	comment	Thy looks should nothing thence, but sweetness tell.											
1301	syllables	How like Eve's apple doth thy beauty grow,	How	like	Eve's	ap	ple	doth	thy	beau	ty	grow,	
1301	stress	How like Eve's apple doth thy beauty grow,	1	1	3	4	1	1	1	3	1	4	
1301	juncture	How like Eve's apple doth thy beauty grow,	2	2	3	1	4	2	2	1	4	5	
1301	comment	How like Eve's apple doth thy beauty grow,											
1302	syllables	If thy sweet virtue answer not thy show!	If	thy	sweet	vir	tue	ans	wer	not	thy	show!	
1302	stress	If thy sweet virtue answer not thy show!	1	1	3	4	1	3	1	1	1	4	
1302	juncture	If thy sweet virtue answer not thy show!	2	2	3	1	4	1	2	3	2	5	
1302	comment	If thy sweet virtue answer not thy show!											
1303	syllables	They that have power to hurt, and will do none,	They	that	have	po wer	to	hurt,	and	will	do	none,	
1303	stress	They that have power to hurt, and will do none,	2	1	1	3	1	4	1	1	4	2	
1303	juncture	They that have power to hurt, and will do none,	2	2	2	3	2	5	2	2	3	5	
1303	comment	They that have power to hurt, and will do none,	poem initial										
1304	syllables	That do not do the thing they most do show,	That	do	not	do	the	thing	they	most	do	show,	
1304	stress	That do not do the thing they most do show,	1	1	1	2	1	3	1	2	1	4	
1304	juncture	That do not do the thing they most do show,	2	2	3	3	2	3	2	2	2	5	
1304	comment	That do not do the thing they most do show,											
1305	syllables	Who, moving others, are themselves as stone,	Who,	mo	ving	o	thers,	are	them-	selves	as	stone,	
1305	stress	Who, moving others, are themselves as stone,	1	3	1	4	1	1	1	3	1	4	
1305	juncture	Who, moving others, are themselves as stone,	2	1	3	1	5	2	2	4	2	5	
1305	comment	Who, moving others, are themselves as stone,											
1306	syllables	Unmoved, cold, and to temptation slow;	Un	mo	ved,	cold,	and	to	temp	ta	tion	slow;	
1306	stress	Unmoved, cold, and to temptation slow;	1	4	1	4	1	1	1	3	1	4	
1306	juncture	Unmoved, cold, and to temptation slow;	1	1	5	5	2	2	1	1	4	5	
1306	comment	Unmoved, cold, and to temptation slow;											
1307	syllables	They rightly do inherit heaven's graces,	They	right	ly	do	in	he	rit	hea	ven's	grac	es,
1307	stress	They rightly do inherit heaven's graces,	1	3	1	1	1	3	1	3	1	4	1
1307	juncture	They rightly do inherit heaven's graces,	2	1	3	2	1	1	3	1	4	1	5
1307	comment	They rightly do inherit heaven's graces,											
1308	syllables	And husband nature's riches from expense;	And	hus	band	na	ture's	rich	es	from	ex	pense;	
1308	stress	And husband nature's riches from expense;	1	3	1	3	1	4	1	1	1	4	
1308	juncture	And husband nature's riches from expense;	2	1	3	1	4	1	3	2	1	5	
1308	comment	And husband nature's riches from expense;											
1309	syllables	They are the lords and owners of their faces,	They	are	the	lords	and	ow	ners	of	their	faces,	
1309	stress	They are the lords and owners of their faces,	1	1	1	3	1	3	1	1	1	4	
1309	juncture	They are the lords and owners of their faces,	2	2	2	4	2	1	4	2	2	5	
1309	comment	They are the lords and owners of their faces,											
1310	syllables	Others, but stewards of their excellence.	O	thers,	but	ste	wards	of	their	ex	cel	lence.	
1310	stress	Others, but stewards of their excellence.	4	1	1	3	1	1	1	4	1	1	
1310	juncture	Others, but stewards of their excellence.	1	5	2	1	3	2	2	1	1	5	
1310	comment	Others, but stewards of their excellence.											
1311	syllables	The summer's flower is to the summer sweet,	The	sum	mer's	flower	is	to	the	sum	mer	sweet,	
1311	stress	The summer's flower is to the summer sweet,	1	3	1	4	1	1	1	3	1	4	
1311	juncture	The summer's flower is to the summer sweet,	2	1	3	4	2	2	2	1	4	5	
1311	comment	The summer's flower is to the summer sweet,											
1312	syllables	Though to itself, it only live and die,	Though	to	it-	self,	it	on	ly	live	and	die,	
1312	stress	Though to itself, it only live and die,	1	1	1	4	1	3	1	3	1	4	
1312	juncture	Though to itself, it only live and die,	2	2	2	5	2	1	3	4	2	5	
1312	comment	Though to itself, it only live and die,											
1313	syllables	But if that flower with base infection meet,	But	if	that	flower	with	base	in	fec	tion	meet,	
1313	stress	But if that flower with base infection meet,	1	1	1	3	1	3	1	4	1	3	
1313	juncture	But if that flower with base infection meet,	2	2	2	4	2	3	1	1	4	5	
1313	comment	But if that flower with base infection meet,											
1314	syllables	The basest weed outbraves his dignity:	The	ba	sest	weed	out-	braves	his	dig	ni	ty:	
1314	stress	The basest weed outbraves his dignity:	1	3	1	4	2	3	1	4	1	1	
1314	juncture	The basest weed outbraves his dignity:	2	1	3	4	2	3	2	1	1	5	
1314	comment	The basest weed outbraves his dignity:											
1315	syllables	For sweetest things turn sourest by their deeds;	For	swee	test	things	turn	sou	rest	by	their	deeds;	
1315	stress	For sweetest things turn sourest by their deeds;	1	3	1	4	3	4	1	1	1	4	
1315	juncture	For sweetest things turn sourest by their deeds;	2	1	3	4	3	1	4	2	2	5	
1315	comment	For sweetest things turn sourest by their deeds;											
1316	syllables	Lilies that fester, smell far worse than weeds.	Li	lies	that	fes	ter,	smell	far	worse	than	weeds.	
1316	stress	Lilies that fester, smell far worse than weeds.	3	1	1	4	1	3	2	3	1	4	
1316	juncture	Lilies that fester, smell far worse than weeds.	1	4	2	1	5	3	2	3	2	5	
1316	comment	Lilies that fester, smell far worse than weeds.											
1317	syllables	How sweet and lovely dost thou make the shame	How	sweet	and	lo	vely	dost	thou	make	the	shame	
1317	stress	How sweet and lovely dost thou make the shame	1	3	1	4	1	1	1	3	1	3	
1317	juncture	How sweet and lovely dost thou make the shame	2	4	2	1	4	2	2	3	2	3	
1317	comment	How sweet and lovely dost thou make the shame	poem initial										
1318	syllables	Which, like a canker in the fragrant rose,	Which,	like	a	can	ker	in	the	fra	grant	rose,	
1318	stress	Which, like a canker in the fragrant rose,	1	1	1	3	1	1	1	3	1	4	
1318	juncture	Which, like a canker in the fragrant rose,	5	2	2	1	4	2	2	1	3	5	
1318	comment	Which, like a canker in the fragrant rose,											
1319	syllables	Doth spot the beauty of thy budding name!	Doth	spot	the	beau	ty	of	thy	bud	ding	name!	
1319	stress	Doth spot the beauty of thy budding name!	1	3	1	3	1	1	1	3	1	4	
1319	juncture	Doth spot the beauty of thy budding name!	2	3	2	1	3	2	2	1	3	5	
1319	comment	Doth spot the beauty of thy budding name!											
1320	syllables	O! in what sweets dost thou thy sins enclose.	O!	in	what	sweets	dost	thou	thy	sins	en	close.	
1320	stress	O! in what sweets dost thou thy sins enclose.	4	1	1	3	1	1	1	3	1	4	
1320	juncture	O! in what sweets dost thou thy sins enclose.	2	2	2	4	2	2	2	4	1	5	
1320	comment	O! in what sweets dost thou thy sins enclose.											
1321	syllables	That tongue that tells the story of thy days,	That	tongue	that	tells	the	sto	ry	of	thy	days,	
1321	stress	That tongue that tells the story of thy days,	1	3	1	3	1	3	1	1	1	4	
1321	juncture	That tongue that tells the story of thy days,	2	3	2	3	2	1	3	2	2	5	
1321	comment	That tongue that tells the story of thy days,											
1322	syllables	Making lascivious comments on thy sport,	Ma	king	las	ci	vi ous	com	ments	on	thy	sport,	
1322	stress	Making lascivious comments on thy sport,	3	1	1	3	1	4	1	1	1	4	
1322	juncture	Making lascivious comments on thy sport,	1	3	1	1	3	1	3	2	2	5	
1322	comment	Making lascivious comments on thy sport,											
1323	syllables	Cannot dispraise, but in a kind of praise;	Can-	not	dis	praise,	but	in	a	kind	of	praise;	
1323	stress	Cannot dispraise, but in a kind of praise;	1	2	1	4	1	1	1	3	1	4	
1323	juncture	Cannot dispraise, but in a kind of praise;	1	2	1	5	2	2	2	3	2	5	
1323	comment	Cannot dispraise, but in a kind of praise;	Cannot in Shakespeare (sample), 4 post break, 24 prose, 61 pretonic (RR), 8 WS, 10 SW.  I think it's freely stressed, as in contemporary English,and should be stressed to match the meter.										
1324	syllables	Naming thy name, blesses an ill report.	Na	ming	thy	name,	bles	ses	an	ill	re	port.	
1324	stress	Naming thy name, blesses an ill report.	3	1	1	4	3	1	1	3	1	4	
1324	juncture	Naming thy name, blesses an ill report.	1	3	2	5	1	3	2	3	1	5	
1324	comment	Naming thy name, blesses an ill report.											
1325	syllables	O! what a mansion have those vices got	O!	what	a	man	sion	have	those	vic	es	got	
1325	stress	O! what a mansion have those vices got	4	1	1	4	1	1	1	3	1	4	
1325	juncture	O! what a mansion have those vices got	2	2	2	1	4	2	2	1	4	4	
1325	comment	O! what a mansion have those vices got											
1326	syllables	Which for their habitation chose out thee,	Which	for	their	ha	bi	ta	tion	chose	out	thee,	
1326	stress	Which for their habitation chose out thee,	1	1	1	2	1	3	1	3	1	4	
1326	juncture	Which for their habitation chose out thee,	2	2	2	1	1	1	4	3	2	5	
1326	comment	Which for their habitation chose out thee,											
1327	syllables	Where beauty's veil doth cover every blot	Where	beau	ty's	veil	doth	co	ver	e	very	blot	
1327	stress	Where beauty's veil doth cover every blot	1	3	1	4	1	3	1	2	1	4	
1327	juncture	Where beauty's veil doth cover every blot	2	1	4	4	2	1	3	1	2	3	
1327	comment	Where beauty's veil doth cover every blot											
1328	syllables	And all things turns to fair that eyes can see!	And	all	things	turns	to	fair	that	eyes	can	see!	
1328	stress	And all things turns to fair that eyes can see!	1	3	2	3	1	4	1	3	1	4	
1328	juncture	And all things turns to fair that eyes can see!	2	2	4	3	2	4	2	4	2	5	
1328	comment	And all things turns to fair that eyes can see!	all things in Shakespeare.  8 prose, 8 postpausal, 22 in Rhythm Rule environment (SW), 17 clear SW, 4 clear WS.  So it looks like this was normally a falling-stress compound; occasionally a rising stress phrase.										
1329	syllables	Take heed, dear heart, of this large privilege;	Take	heed,	dear	heart,	of	this	large	pri	vi	lege;	
1329	stress	Take heed, dear heart, of this large privilege;	3	4	3	4	1	1	3	4	1	1	
1329	juncture	Take heed, dear heart, of this large privilege;	3	5	3	5	2	2	3	1	1	5	
1329	comment	Take heed, dear heart, of this large privilege;											
1330	syllables	The hardest knife ill-us'd doth lose his edge.	The	har	dest	knife	ill-	us'd	doth	lose	his	edge.	
1330	stress	The hardest knife ill-us'd doth lose his edge.	1	3	1	3	2	3	1	3	1	4	
1330	juncture	The hardest knife ill-us'd doth lose his edge.	2	1	3	4	2	4	2	3	2	5	
1330	comment	The hardest knife ill-us'd doth lose his edge.											
1331	syllables	Some say thy fault is youth, some wantonness;	Some	say	thy	fault	is	youth,	some	wan	ton	ness;	
1331	stress	Some say thy fault is youth, some wantonness;	3	3	1	3	1	4	3	4	1	1	
1331	juncture	Some say thy fault is youth, some wantonness;	4	3	2	4	2	5	4	1	1	5	
1331	comment	Some say thy fault is youth, some wantonness;	poem initial										
1332	syllables	Some say thy grace is youth and gentle sport;	Some	say	thy	grace	is	youth	and	gent	le	sport;	
1332	stress	Some say thy grace is youth and gentle sport;	3	2	1	3	1	3	1	3	1	4	
1332	juncture	Some say thy grace is youth and gentle sport;	4	3	2	4	2	4	2	1	3	5	
1332	comment	Some say thy grace is youth and gentle sport;											
1333	syllables	Both grace and faults are lov'd of more and less:	Both	grace	and	faults	are	lov'd	of	more	and	less:	
1333	stress	Both grace and faults are lov'd of more and less:	1	3	1	4	1	3	1	3	1	4	
1333	juncture	Both grace and faults are lov'd of more and less:	2	4	2	4	2	3	2	3	2	5	
1333	comment	Both grace and faults are lov'd of more and less:											
1334	syllables	Thou mak'st faults graces that to thee resort.	Thou	mak'st	faults	grac	es	that	to	thee	re	sort.	
1334	stress	Thou mak'st faults graces that to thee resort.	1	3	4	4	1	1	1	1	1	4	
1334	juncture	Thou mak'st faults graces that to thee resort.	2	3	4	1	4	2	2	3	1	5	
1334	comment	Thou mak'st faults graces that to thee resort.											
1335	syllables	As on the finger of a throned queen	As	on	the	fin	ger	of	a	thro	ned	queen	
1335	stress	As on the finger of a throned queen	1	1	1	3	1	1	1	3	1	4	
1335	juncture	As on the finger of a throned queen	2	2	2	1	3	2	2	1	3	5	
1335	comment	As on the finger of a throned queen											
1336	syllables	The basest jewel will be well esteem'd,	The	ba	sest	je	wel	will	be	well	es	teem'd,	
1336	stress	The basest jewel will be well esteem'd,	1	3	1	4	1	1	1	3	1	4	
1336	juncture	The basest jewel will be well esteem'd,	2	1	3	1	4	2	2	3	1	5	
1336	comment	The basest jewel will be well esteem'd,											
1337	syllables	So are those errors that in thee are seen	So	are	those	er	rors	that	in	thee	are	seen	
1337	stress	So are those errors that in thee are seen	2	1	1	3	1	1	1	2	1	4	
1337	juncture	So are those errors that in thee are seen	2	2	2	1	3	2	2	3	2	4	
1337	comment	So are those errors that in thee are seen											
1338	syllables	To truths translated, and for true things deem'd.	To	truths	trans	la	ted,	and	for	TRUE	things	deem'd.	
1338	stress	To truths translated, and for true things deem'd.	1	3	1	4	1	1	1	3	2	4	
1338	juncture	To truths translated, and for true things deem'd.	2	4	1	1	5	2	2	3	4	5	
1338	comment	To truths translated, and for true things deem'd.	Translate:  OED gives only final stress, In Shakespeare:  2 prose, 1 postpausal, 7 WS.  Clearly final stress.										
1339	syllables	How many lambs might the stern wolf betray,	How	ma	ny	lambs	might	the	stern	wolf	be	tray,	
1339	stress	How many lambs might the stern wolf betray,	2	2	1	3	1	1	3	4	1	4	
1339	juncture	How many lambs might the stern wolf betray,	2	1	2	4	2	2	3	4	1	5	
1339	comment	How many lambs might the stern wolf betray,											
1340	syllables	If like a lamb he could his looks translate!	If	like	a	lamb	he	could	his	looks	trans	late!	
1340	stress	If like a lamb he could his looks translate!	1	1	1	3	1	1	1	3	1	4	
1340	juncture	If like a lamb he could his looks translate!	2	2	2	4	2	2	2	4	1	5	
1340	comment	If like a lamb he could his looks translate!	Translate:  OED gives only final stress, In Shakespeare:  2 prose, 1 postpausal, 7 WS.  Clearly final stress.										
1341	syllables	How many gazers mightst thou lead away,	How	ma	ny	ga	zers	mightst	thou	lead	a	way,	
1341	stress	How many gazers mightst thou lead away,	2	2	1	4	1	1	1	3	1	4	
1341	juncture	How many gazers mightst thou lead away,	2	1	2	1	4	2	2	3	1	5	
1341	comment	How many gazers mightst thou lead away,											
1342	syllables	if thou wouldst use the strength of all thy state!	if	thou	wouldst	use	the	strength	of	all	thy	state!	
1342	stress	if thou wouldst use the strength of all thy state!	1	1	1	3	1	3	1	1	1	4	
1342	juncture	if thou wouldst use the strength of all thy state!	2	2	2	3	2	3	2	2	2	5	
1342	comment	if thou wouldst use the strength of all thy state!											
1343	syllables	But do not so; I love thee in such sort,	But	do	not	so;	I	love	thee	in	such	sort,	
1343	stress	But do not so; I love thee in such sort,	1	4	1	1	1	3	1	1	1	4	
1343	juncture	But do not so; I love thee in such sort,	2	2	3	5	2	2	3	2	2	5	
1343	comment	But do not so; I love thee in such sort,											
1344	syllables	As, thou being mine, mine is thy good report.	As,	thou	be ing	mine,	mine	is	thy	good	re	port.	
1344	stress	As, thou being mine, mine is thy good report.	1	2	1	4	3	1	1	3	1	4	
1344	juncture	As, thou being mine, mine is thy good report.	2	4	2	5	4	2	2	3	1	5	
1344	comment	As, thou being mine, mine is thy good report.											
1345	syllables	How like a winter hath my absence been	How	like	a	win	ter	hath	my	ab	sence	been	
1345	stress	How like a winter hath my absence been	1	1	1	4	1	1	1	3	1	1	
1345	juncture	How like a winter hath my absence been	2	2	2	1	4	2	2	1	4	3	
1345	comment	How like a winter hath my absence been	poem initial3 juncture at end is dicey; note syntactic dislocation here										
1346	syllables	From thee, the pleasure of the fleeting year!	From	thee,	the	plea	sure	of	the	flee	ting	year!	
1346	stress	From thee, the pleasure of the fleeting year!	1	2	1	3	1	1	1	3	1	4	
1346	juncture	From thee, the pleasure of the fleeting year!	2	5	2	1	3	2	2	1	3	5	
1346	comment	From thee, the pleasure of the fleeting year!											
1347	syllables	What freezings have I felt, what dark days seen!	What	free	zings	have	I	felt,	what	dark	days	seen!	
1347	stress	What freezings have I felt, what dark days seen!	1	4	1	1	1	3	1	3	4	3	
1347	juncture	What freezings have I felt, what dark days seen!	2	1	4	2	2	5	2	3	4	5	
1347	comment	What freezings have I felt, what dark days seen!											
1348	syllables	What old December's bareness everywhere!	What	old	De	cem	ber's	bare	ness	e	very-	where!	
1348	stress	What old December's bareness everywhere!	1	3	1	3	1	4	1	4	1	2	
1348	juncture	What old December's bareness everywhere!	2	3	1	1	4	1	4	1	2	5	
1348	comment	What old December's bareness everywhere!											
